,bib_number,category,team_name,start_time,year,bikers,place
5403785094496256,69,mixed,NO SPEED NO TRUST,0,2024,n,191
5406935486562304,116,female,Slow Maintenance,0,2024,n,32
5407974969311232,215,mixed,ROCovery7,2700,2024,n,86
5409355499307008,173,mixed,7 ate 9,1800,2024,n,193
5418437274763264,149,mixed,Easier Said Than Run,1800,2024,n,119
5423901244915712,71,mixed,FOURTEEN FEET,1800,2024,n,138
5424678768214016,120,female,Chase Our Aces,0,2024,n,29
5427250782535680,248,mixed,Trying to find Kristina,2700,2024,n,91
5434112831651840,167,mixed,Whine Trail,9000,2024,n,77
5465991622426624,189,mixed,Seneca Sloths,2700,2024,n,172
5473568146063360,204,mixed,Wheelin' and Dealin',9000,2024,n,56
5473808228024320,38,mixed,The Notorious R.U.N.N.E.R.S.,1800,2024,n,128
5474570282729472,251,mixed,"Blood, Sweat, & Beers2",2700,2024,n,53
5479667100286976,264,mixed,Pour Choices,1800,2024,n,139
5483306950852608,178,mixed,OLP Saturday Regulars,0,2024,n,184
5484008406253568,54,mixed,Team Ev,11700,2024,n,7
5484121115590656,145,mixed,I-b-pro-Fun,9000,2024,n,90
5484785929551872,128,mixed,The Leftovers,0,2024,n,75
5487655840120832,198,mixed,The Seneca Sippers,9000,2024,n,35
5829147951628288,108,female,Hot Mess Express,1800,2024,n,49
5846113709981696,79,mixed,The 7th Time,9900,2024,n,10
5914373759434752,223,mixed,Peer Pressure,1800,2024,n,178
5915002703708160,185,mixed,Kiss My Asphalt,2700,2024,n,39
5916275523977216,307,mixed,Worst Pace Scenario,2700,2024,n,43
5920796077719552,133,mixed,World's Okayest Runners,2700,2024,n,41
5930519883677696,267,mixed,Bad Wolf 2,2700,2024,n,71
5931806897471488,212,mixed,Quit Your Wineing,2700,2024,n,133
5934778914177024,141,mixed,One Leg at a Time,1800,2024,n,158
5936366844116992,87,mixed,Amphenol,9900,2024,n,11
5937329587879936,102,female,Legs Miserables,1800,2024,n,42
5942745273204736,27,female,7 Feisty Trash Bags,1800,2024,n,47
5951004763750400,259,mixed,Hepta Hopchestaa,9000,2024,n,25
5951588208214016,298,mixed,Best pace scenario,9900,2024,n,5
5957757660299264,86,female,Sloth Running Team,0,2024,n,39
5958167561240576,273,mixed,Hobart and Heron Hill Hustlers,9000,2024,n,15
5961842107088896,213,mixed,Sneaky 7,2700,2024,n,125
5962581646770176,154,mixed,7 Motley Misfits,9000,2024,n,52
5962850384216064,257,mixed,The 7-ups,0,2024,n,166
5962932424802304,7,male,Cornell Automatic... Still Is,11700,2024,n,1
5966735047917568,221,mixed,14 feet to the finish line!,1800,2024,n,174
5969885439983616,164,mixed,"When They Go Slow, We Go Slower",0,2024,n,79
5970924922732544,158,mixed,Hills Mafia,1800,2024,n,171
5972305452728320,231,mixed,L.F.G.,2700,2024,n,38
5974052296458240,277,female,The Demons,1800,2024,n,51
5975305554493440,72,mixed,77 Bottles 14.0,0,2024,n,159
5980300467240960,26,mixed,Chili Chasers,1800,2024,n,155
5981387228184576,156,mixed,Easier Said Than Run,2700,2024,n,104
5986851198337024,115,female,"Megaphone, Megafun, Megarun: Not the fastest but the loudest",1800,2024,n,16
5987226873757696,182,mixed,The OG,0,2024,n,168
5989223496679424,258,male,The Revival,2700,2024,n,14
5990200735956992,146,mixed,In it to Wine it,0,2024,n,127
5990682208501760,140,mixed,The Replacements,9900,2024,n,22
5990767906521088,216,mixed,Drinkin' Kool Aid,0,2024,n,173
5997062785073152,268,mixed,Fast and Spurious - Seneca Drift,2700,2024,n,118
6000016581722112,119,mixed,Mighty-chondrias,9000,2024,n,16
6000406014459904,157,mixed,TIM:,9900,2024,n,45
6002389752479744,49,mixed,Lactic Acid Droppers,2700,2024,n,100
6017456497754112,21,mixed,CRC Texas Hold 'Em,11700,2024,n,2
6022552442896384,226,female,7 Shades of Awesome,1800,2024,n,52
6023478679437312,1,mixed,PTFLWF,0,2024,n,200
6028941575847936,207,mixed,Lock 32 Brew Crew,0,2024,n,182
6030187988779008,126,mixed,Fast Fingers Slow Feet,0,2024,n,80
6036518099484672,243,mixed,Full STEM Ahead,9000,2024,n,26
6036758181445632,122,mixed,Rochester Road Runners,0,2024,n,78
6037520236150784,195,mixed,Happy Feet,9000,2024,n,28
6042617053708288,8,female,Running on Cloud Wine,1800,2024,n,34
6044034359361536,118,mixed,Ctrl+Alt+Elite,1800,2024,n,95
6046256904273920,113,female,"A Chick, Some Hens, and One Tough Old Bird",1800,2024,n,35
6046958359674880,249,female,Sole Sisters,1800,2024,n,30
6047071069011968,92,mixed,Seriouslyâ¦Again? #7,2700,2024,n,103
6047735882973184,217,mixed,Miles of Whining,2700,2024,n,99
6050605793542144,104,mixed,Whose leg is it anyway?,0,2024,n,142
6195848736145408,132,mixed,Sunday Runday Seven,2700,2024,n,89
