,year,path,waypoint,lat,lon
287,2025,4,27,42.67187,-76.94835
288,2025,4,28,42.67187,-76.94835
289,2025,4,29,42.66331,-76.94439
290,2025,4,30,42.66287,-76.94423
291,2025,4,31,42.66228,-76.94405
292,2025,4,32,42.6618,-76.94395
293,2025,4,33,42.66143,-76.94391
294,2025,4,34,42.66099,-76.94388
295,2025,4,35,42.65968,-76.94386
296,2025,4,36,42.6581,-76.94381
297,2025,4,37,42.65526,-76.94382
298,2025,4,38,42.64973,-76.94381
299,2025,4,39,42.64502,-76.94383
300,2025,4,40,42.64102,-76.94384
301,2025,4,41,42.63857,-76.94384
302,2025,4,42,42.62022,-76.94387
303,2025,4,43,42.62007,-76.94382
304,2025,4,44,42.61999,-76.94367
305,2025,4,45,42.61982,-76.9436
306,2025,4,46,42.61952,-76.94358
307,2025,4,47,42.61907,-76.94358
308,2025,5,0,42.61905,-76.94358
309,2025,5,1,42.61856,-76.94358
310,2025,5,2,42.61848,-76.94361
311,2025,5,3,42.61841,-76.94368
312,2025,5,4,42.6183,-76.94388
313,2025,5,5,42.61221,-76.9439
314,2025,5,6,42.60527,-76.94392
315,2025,5,7,42.60245,-76.94394
316,2025,5,8,42.6004,-76.94395
317,2025,5,9,42.59711,-76.94393
318,2025,5,10,42.596,-76.94389
319,2025,5,11,42.59555,-76.94383
320,2025,5,12,42.595,-76.94371
321,2025,5,13,42.59455,-76.94357
322,2025,5,14,42.59424,-76.94344
323,2025,5,15,42.59396,-76.94331
324,2025,5,16,42.59352,-76.94309
325,2025,5,17,42.59301,-76.94278
326,2025,5,18,42.59257,-76.94244
327,2025,5,19,42.59218,-76.94211
328,2025,5,20,42.59188,-76.94181
329,2025,5,21,42.58951,-76.93928
330,2025,5,22,42.58837,-76.93807
331,2025,5,23,42.58787,-76.93757
332,2025,5,24,42.58746,-76.93721
333,2025,5,25,42.58684,-76.93677
334,2025,5,26,42.58103,-76.93293
335,2025,5,27,42.57884,-76.93147
336,2025,5,28,42.57801,-76.93088
337,2025,5,29,42.57472,-76.92858
338,2025,5,30,42.57316,-76.9275
339,2025,5,31,42.57256,-76.92707
340,2025,5,32,42.57171,-76.92652
341,2025,5,33,42.57102,-76.92613
342,2025,5,34,42.57027,-76.92576
343,2025,5,35,42.56753,-76.92468
344,2025,5,36,42.55683,-76.92051
345,2025,6,0,42.55676,-76.92047
346,2025,6,1,42.55676,-76.92048
347,2025,6,2,42.55568,-76.92009
348,2025,6,3,42.55509,-76.91993
349,2025,6,4,42.55437,-76.91975
350,2025,6,5,42.55357,-76.91962
351,2025,6,6,42.55252,-76.91955
352,2025,6,7,42.54967,-76.91957
353,2025,6,8,42.54923,-76.91956
354,2025,6,9,42.54864,-76.91953
355,2025,6,10,42.54757,-76.91938
356,2025,6,11,42.54557,-76.91914
357,2025,6,12,42.5369,-76.91804
358,2025,6,13,42.53375,-76.91765
359,2025,6,14,42.53153,-76.91741
360,2025,6,15,42.5303,-76.91736
361,2025,6,16,42.5298,-76.91738
362,2025,6,17,42.52936,-76.91744
363,2025,6,18,42.52855,-76.9177
364,2025,6,19,42.52681,-76.91829
365,2025,6,20,42.52612,-76.91854
366,2025,6,21,42.52515,-76.91896
367,2025,6,22,42.5185,-76.922
368,2025,6,23,42.51794,-76.92224
369,2025,6,24,42.51737,-76.92244
370,2025,6,25,42.517,-76.92253
371,2025,6,26,42.51672,-76.92258
372,2025,6,27,42.5151,-76.92283
373,2025,6,28,42.50694,-76.92404
374,2025,6,29,42.5047,-76.92435
375,2025,6,30,42.50421,-76.9244
376,2025,6,31,42.50382,-76.92441
377,2025,6,32,42.50308,-76.92441
378,2025,6,33,42.50193,-76.92438
379,2025,6,34,42.50189,-76.92439
380,2025,6,35,42.50183,-76.9244
381,2025,6,36,42.50113,-76.92439
382,2025,6,37,42.50067,-76.92438
383,2025,6,38,42.50068,-76.92429
384,2025,6,39,42.50071,-76.92346
385,2025,6,40,42.50076,-76.92199
386,2025,7,0,42.50076,-76.92196
387,2025,7,1,42.50076,-76.92196
388,2025,7,2,42.50085,-76.91863
389,2025,7,3,42.50085,-76.91814
390,2025,7,4,42.50083,-76.91802
391,2025,7,5,42.50078,-76.91791
392,2025,7,6,42.50066,-76.91782
393,2025,7,7,42.50023,-76.91768
394,2025,7,8,42.49909,-76.91733
395,2025,7,9,42.49816,-76.91701
396,2025,7,10,42.49756,-76.91692
397,2025,7,11,42.49641,-76.91678
398,2025,7,12,42.49578,-76.9167
399,2025,7,13,42.49552,-76.91664
400,2025,7,14,42.49519,-76.91652
401,2025,7,15,42.4945,-76.91609
402,2025,7,16,42.49351,-76.91543
403,2025,7,17,42.49305,-76.91515
404,2025,7,18,42.49206,-76.91459
405,2025,7,19,42.49176,-76.91428
406,2025,7,20,42.49164,-76.9142
407,2025,7,21,42.49138,-76.91402
408,2025,7,22,42.49116,-76.9139
409,2025,7,23,42.49086,-76.91381
410,2025,7,24,42.49078,-76.91375
411,2025,7,25,42.49073,-76.91366
412,2025,7,26,42.49071,-76.91344
413,2025,7,27,42.49071,-76.91322
414,2025,7,28,42.49058,-76.91322
415,2025,7,29,42.49021,-76.91325
416,2025,7,30,42.48989,-76.91329
417,2025,7,31,42.48928,-76.91347
418,2025,7,32,42.48904,-76.91352
419,2025,7,33,42.48874,-76.91352
420,2025,7,34,42.48796,-76.91353
421,2025,7,35,42.48756,-76.91362
422,2025,7,36,42.48719,-76.91374
423,2025,7,37,42.48719,-76.91374
424,2025,7,38,42.48604,-76.91408
425,2025,7,39,42.48576,-76.9142
426,2025,7,40,42.48563,-76.9143
427,2025,7,41,42.48555,-76.91442
428,2025,7,42,42.48548,-76.91458
429,2025,7,43,42.48544,-76.91474
430,2025,7,44,42.48536,-76.91553
431,2025,7,45,42.48521,-76.9162
432,2025,7,46,42.48506,-76.91681
433,2025,7,47,42.4847,-76.91991
434,2025,7,48,42.48453,-76.92207
435,2025,7,49,42.48437,-76.9241
436,2025,7,50,42.48436,-76.92433
437,2025,7,51,42.48365,-76.92435
438,2025,7,52,42.48338,-76.92432
439,2025,7,53,42.48307,-76.92433
440,2025,7,54,42.48277,-76.92433
441,2025,7,55,42.48216,-76.92434
442,2025,7,56,42.48155,-76.92437
443,2025,7,57,42.48093,-76.92439
444,2025,7,58,42.48031,-76.92441
445,2025,7,59,42.47978,-76.92439
446,2025,7,60,42.47928,-76.92429
447,2025,7,61,42.47881,-76.92413
448,2025,7,62,42.4783,-76.92386
449,2025,7,63,42.47771,-76.92353
450,2025,7,64,42.47713,-76.92319
451,2025,7,65,42.47655,-76.92286
452,2025,7,66,42.47596,-76.92254
453,2025,7,67,42.47538,-76.92221
454,2025,7,68,42.4748,-76.92189
455,2025,7,69,42.47421,-76.92157
456,2025,7,70,42.47363,-76.92124
457,2025,7,71,42.47305,-76.92091
458,2025,7,72,42.47246,-76.92057
459,2025,7,73,42.47188,-76.92024
460,2025,7,74,42.47129,-76.91992
461,2025,7,75,42.4707,-76.91959
462,2025,7,76,42.4701,-76.91925
463,2025,7,77,42.4695,-76.9189
464,2025,7,78,42.4689,-76.91857
465,2025,7,79,42.4683,-76.91823
466,2025,7,80,42.4677,-76.91789
467,2025,7,81,42.4671,-76.91755
468,2025,7,82,42.4665,-76.91722
469,2025,7,83,42.4659,-76.91688
470,2025,7,84,42.4653,-76.91655
471,2025,7,85,42.46505,-76.9164
472,2025,8,0,42.465,-76.9164
473,2025,8,1,42.46427,-76.91601
474,2025,8,2,42.46231,-76.91489
475,2025,8,3,42.45884,-76.91295
476,2025,8,4,42.45782,-76.9124
477,2025,8,5,42.45556,-76.91109
478,2025,8,6,42.45424,-76.91039
479,2025,8,7,42.45371,-76.91014
480,2025,8,8,42.45317,-76.90996
481,2025,8,9,42.45084,-76.90904
482,2025,8,10,42.44966,-76.9086
483,2025,8,11,42.44856,-76.90836
484,2025,8,12,42.44784,-76.90829
485,2025,8,13,42.44676,-76.90821
486,2025,8,14,42.44545,-76.90811
487,2025,8,15,42.44249,-76.9079
488,2025,8,16,42.43719,-76.90744
489,2025,8,17,42.43617,-76.90735
490,2025,8,18,42.43481,-76.90727
491,2025,8,19,42.43288,-76.90709
492,2025,8,20,42.43194,-76.90702
493,2025,8,21,42.43165,-76.90698
494,2025,8,22,42.43135,-76.90694
495,2025,8,23,42.43081,-76.90684
496,2025,8,24,42.43073,-76.90682
497,2025,8,25,42.43065,-76.90674
498,2025,8,26,42.4306,-76.90656
499,2025,8,27,42.43056,-76.90641
500,2025,8,28,42.43054,-76.90625
501,2025,8,29,42.43053,-76.90612
502,2025,8,30,42.43046,-76.90606
503,2025,8,31,42.4304,-76.90605
504,2025,8,32,42.43026,-76.90605
505,2025,8,33,42.42991,-76.90605
506,2025,8,34,42.42987,-76.90602
507,2025,8,35,42.42984,-76.90594
508,2025,8,36,42.42983,-76.9058
509,2025,8,37,42.42982,-76.90566
510,2025,8,38,42.42978,-76.90554
511,2025,8,39,42.42973,-76.90543
512,2025,8,40,42.42967,-76.90527
513,2025,8,41,42.42959,-76.9052
514,2025,8,42,42.42949,-76.9051
515,2025,8,43,42.42937,-76.90506
516,2025,8,44,42.42925,-76.90502
517,2025,8,45,42.4291,-76.90499
518,2025,8,46,42.42892,-76.90497
519,2025,8,47,42.42874,-76.90502
520,2025,8,48,42.4286,-76.90506
521,2025,8,49,42.42849,-76.9051
522,2025,8,50,42.42841,-76.90517
523,2025,9,0,42.42839,-76.9052
524,2025,9,1,42.42834,-76.90543
525,2025,9,2,42.42826,-76.90631
526,2025,9,3,42.42826,-76.90634
527,2025,9,4,42.42627,-76.90587
528,2025,9,5,42.42547,-76.90564
529,2025,9,6,42.42495,-76.90546
530,2025,9,7,42.42439,-76.90522
531,2025,9,8,42.42432,-76.90523
532,2025,9,9,42.42333,-76.9048
533,2025,9,10,42.41967,-76.90327
534,2025,9,11,42.4176,-76.90245
535,2025,9,12,42.41597,-76.90188
536,2025,9,13,42.41521,-76.90163
537,2025,9,14,42.41326,-76.90097
538,2025,9,15,42.41258,-76.90076
539,2025,9,16,42.41137,-76.90021
540,2025,9,17,42.41001,-76.89947
541,2025,9,18,42.4084,-76.89863
542,2025,9,19,42.40594,-76.89734
543,2025,9,20,42.40543,-76.89704
544,2025,9,21,42.40512,-76.89682
545,2025,9,22,42.40486,-76.8966
546,2025,9,23,42.40436,-76.89615
547,2025,9,24,42.40379,-76.8955
548,2025,9,25,42.40348,-76.89508
549,2025,9,26,42.40251,-76.89376
550,2025,9,27,42.40179,-76.89277
551,2025,9,28,42.40041,-76.89088
552,2025,9,29,42.39993,-76.89032
553,2025,9,30,42.39941,-76.8898
554,2025,9,31,42.39918,-76.8896
555,2025,9,32,42.398,-76.88875
556,2025,9,33,42.39669,-76.8879
557,2025,9,34,42.39629,-76.88762
