,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,overall
4660695756963840,,9.374999985351563,7.999999989333333,6.666666659259259,9.523809508692366,7.999999989333333,8.571428559183673,8.219178070932633,8.571428559183673,7.999999989333333,7.142857134353741,7.792207782088042,8.108108097151204,8.219178070932633,8.108108097151204,8.333333321759259,7.228915653941064,6.666666659259259,8.219178070932633,7.69230768244576,8.333333321759259,7.894736831717452,7.842983306725365
4661109717991424,,8.571428559183673,9.999999983333334,7.4074073982624595,7.999999989333333,7.142857134353741,9.523809508692366,6.7415730261330635,8.108108097151204,9.836065557645794,8.108108097151204,6.382978716613851,6.7415730261330635,8.219178070932633,6.451612896288587,8.333333321759259,8.955223867231009,7.594936699246915,6.593406586161091,6.666666659259259,8.823529398788928,6.666666659259259,7.563679618392225
4661454590443520,,6.666666659259259,6.451612896288587,6.122448973344439,7.4074073982624595,5.9999999939999995,6.89655171621086,5.454545449586776,5.940594053524164,6.382978716613851,6.185567003932405,6.382978716613851,5.714285708843537,5.555555550411522,5.454545449586776,6.818181810433883,5.504587150913222,5.9999999939999995,6.976744177934018,5.714285708843537,5.7692307636834315,5.17241378864447,5.971181550253464
4664583641890816,,8.955223867231009,9.090909077134986,6.382978716613851,8.955223867231009,7.228915653941064,8.108108097151204,7.69230768244576,8.108108097151204,9.999999983333334,6.7415730261330635,6.249999993489583,7.058823521107266,7.142857134353741,7.4074073982624595,8.955223867231009,8.69565216131065,5.9999999939999995,7.228915653941064,7.69230768244576,7.894736831717452,7.142857134353741,7.478544492456494
4679081605988352,,7.999999989333333,8.69565216131065,7.317073161808447,8.955223867231009,7.4074073982624595,8.108108097151204,8.450704213449713,7.792207782088042,7.999999989333333,8.108108097151204,6.593406586161091,7.4074073982624595,6.666666659259259,8.450704213449713,8.571428559183673,7.999999989333333,7.499999990625,6.976744177934018,7.4074073982624595,7.499999990625,7.999999989333333,7.60335969027512
4692756781858816,,7.058823521107266,8.333333321759259,8.69565216131065,9.523809508692366,9.836065557645794,9.836065557645794,8.219178070932633,6.31578946703601,8.450704213449713,9.230769216568047,8.219178070932633,9.999999983333334,8.69565216131065,7.792207782088042,6.976744177934018,7.999999989333333,8.571428559183673,8.823529398788928,9.677419339229969,9.374999985351563,7.594936699246915,8.319800113385412
4693784621219840,,6.666666659259259,7.999999989333333,7.894736831717452,10.344827568370988,6.976744177934018,13.043478232514179,6.818181810433883,6.122448973344439,7.999999989333333,8.108108097151204,8.450704213449713,6.451612896288587,7.894736831717452,8.823529398788928,6.818181810433883,6.818181810433883,7.499999990625,9.090909077134986,6.7415730261330635,7.894736831717452,9.230769216568047,7.6371976094565035
4702191080177664,,8.333333321759259,7.142857134353741,7.499999990625,8.333333321759259,10.344827568370988,8.823529398788928,9.090909077134986,7.228915653941064,6.976744177934018,8.108108097151204,7.058823521107266,9.374999985351563,7.499999990625,8.823529398788928,7.69230768244576,5.7692307636834315,14.9999999625,7.228915653941064,9.677419339229969,8.823529398788928,8.333333321759259,7.864151357456585
4709729150435328,,7.142857134353741,8.571428559183673,4.999999995833333,9.677419339229969,7.4074073982624595,8.219178070932633,8.823529398788928,6.521739123345935,8.823529398788928,5.263157890120036,7.792207782088042,6.89655171621086,7.317073161808447,8.571428559183673,7.142857134353741,7.69230768244576,5.217391299810964,8.450704213449713,6.89655171621086,7.69230768244576,8.571428559183673,7.16037372753573
4714264635899904,,7.499999990625,6.666666659259259,6.666666659259259,8.955223867231009,7.69230768244576,7.317073161808447,7.69230768244576,6.7415730261330635,6.382978716613851,7.317073161808447,6.7415730261330635,7.4074073982624595,6.31578946703601,7.317073161808447,7.228915653941064,5.40540540053567,6.666666659259259,7.4074073982624595,7.4074073982624595,7.142857134353741,7.142857134353741,6.895429662242643
